Country/Territory,Population (2010)Pew estimate,% Buddhist (2010)Pew estimate,No. of Buddhists (2010)Pew estimate,No. of BuddhistsOther estimates
Italy,60550000,0.2%,110000,"0.3% / 160,000 (According to Caritas Italiana ) https://web.archive.org/web/20071129184319/http://www.db.caritas.glauco.it/caritastest/informiamoci/Riviste_e_pubblicazioni/Sussidi2007/Libri/dossierimmigrazione2007/materiale/panorama_multireligioso.pdf"
Jamaica,2740000,< 0.1%,"< 10,000",
Japan,126540000,36.2%,45820000,"67% or 84,336,539 (2018, ACA Religious Yearbook) less than 20% (2017, JGSS)"

Jordan,6190000,0.4%,20000,
Kazakhstan,16030000,0.2%,40000,


North Korea,24350000,1.5%,370000,
South Korea,48180000,22.9%,11050000,
Kuwait,2740000,2.8%,80000,"4% / 100,000 (2006)"

Lao PDR,6200000,66.1%,4100000,

Lebanon,4230000,0.2%,"< 10,000",


Libya,6360000,0.3%,20000,



Macau,540000,17.3%,90000,"80% / 455,000 (2012 govt. report)"



Malaysia,28400000,19.8 %,5010000,
Maldives,320000,0.6%,"< 10,000",











Mongolia,2760000,55.1%,1520000,



Myanmar,47960000,80.1%,38410000,87.9% (Census 2014)

Nauru,10000,1.1%,"< 10,000",
Nepal,29960000,10.3%,3080000,
Netherlands,16610000,0.2%,40000,


New Caledonia,250000,0.6%,"< 10,000",
New Zealand,4370000,1.6%,70000,


Nigeria,158420000,< 0.1%,10000,


Northern Mariana Islands,60000,10.6%,"< 10,000",
Norway,4880000,0.6%,30000,
Oman,2780000,0.8%,20000,"1.20% / 30,501 https://web.archive.org/web/20070930152448/http://www.religiousintelligence.co.uk/country/?CountryID=36"

Pakistan,173590000,< 0.1%,20000,
Palau,20000,0.8%,"< 10,000",
Panama,3520000,0.2%,"< 10,000",



Peru,29080000,0.2%,50000,
Philippines,93260000,< 0.1%,80000,"46,558 (2010 census) https://psa.gov.ph/sites/default/files/2015%20PSY%20PDF.pdf"


Portugal,10680000,0.6%,60000,
Puerto Rico,3750000,0.3%,10000,
Qatar,1760000,3.1%,50000,
Reunion,850000,0.2%,"< 10,000",

Russia,142960000,0.1%,170000,"0.6% / 866,500 (2016)"










Saudi Arabia,27450000,0.3%,90000,"1.5% / 414,016 (2007)"
Senegal,12430000,0.3%,"< 10,000",

Sierra Leone,5870000,0.3%,"< 10,000",

Singapore,5090000,33.9%,1730000,


Solomon Islands,540000,0.3%,"< 10,000",

South Africa,50130000,0.2%,100000,



Sri Lanka,20860000,69.3%,14450000,"70.2% / 14,222,844 (2011 census) Department of Census and Statistics, [http://www.statistics.gov.lk/PopHouSat/CPH2011/index.php?fileName=pop43&gp=Activities&tpl=3 The Census of Population and Housing of Sri Lanka-2011]"




Suriname,520000,0.6%,"< 10,000",


Sweden,9380000,0.4%,40000,
Switzerland,7660000,0.4%,30000,

Taiwan,23220000,21.3%,4950000,"35% / 8,050,000 (2006) [https://2009-2017.state.gov/documents/organization/171672.pdf]"


Thailand,69120000,93.2%,64420000,"94.5% / 63,620,298 (2015 census)"


Tonga,100000,< 0.1%,"< 10,000",
Trinidad and Tobago,1340000,0.3%,"< 10,000",

Turkey,72750000,< 0.1%,40000,




Ukraine,45450000,< 0.1%,20000,
United Arab Emirates,7510000,2%,150000,"5% / 222,201 (2006)"
UK,62040000,0.4%,240000,
US,310380000,1.2%,3570000,



Uzbekistan,27440000,< 0.1%,"< 10,000",


Vietnam,87850000,16.4%,14380000,







