Country/Territory,Population (2010)Pew estimate,% Buddhist (2010)Pew estimate,No. of Buddhists (2010)Pew estimate,No. of BuddhistsOther estimates
Falkland Islands,,< 0.1%,"< 10,000",
Fiji,,< 0.1%,"< 10,000",
Finland,,< 0.1%,"< 10,000",
Fm Panama Cz,0
Fm Rhod Nyas,0
Fm Tanganyik,0
Fm Vietnam Dr,0
Fm Vietnam Rp,0
Fm Zanz-Pemb,0
Fr. So. Ant. Tr,0
France,62790000,0.5%,280000,
Free Zones,0
French Guiana,,< 0.1%,"< 10,000",
French Polynesia,,< 0.1%,"< 10,000",
Gabon,0
Gambia,0
Gaza Strip,0
Georgia,0
German Democratic Republic,0
Germany,82300000,0.3%,210000,"270,000 (2016)"
Ghana,,< 0.1%,"< 10,000",
Gibraltar,0
Greece,,< 0.1%,"< 10,000",
Greenland,0
Grenada,0
Guadeloupe,0
Guam,180000,1.1%,"< 10,000",
Guatemala,,< 0.1%,"< 10,000",
Guinea,,< 0.1%,"< 10,000",
Guinea-Bissau,0
Guyana,,< 0.1%,"< 10,000",
Haiti,,< 0.1%,"< 10,000",
Holy See,0
Honduras,7600000,0.1%,"< 10,000",
Hong Kong,7050000,13.2%,930000,
Hungary,,< 0.1%,"< 10,000",
Iceland,320000,0.4%,"< 10,000",
India,1224610000,0.8%,9250000,"0.7% / 8,442,972 ( 2011 Census )"
Indonesia,239870000,0.7%,1720000,
Iran,,< 0.1%,"< 10,000",
Iraq,,< 0.1%,"< 10,000",
Ireland,4470000,0.2%,"< 10,000",
Israel,7420000,0.3%,20000,
Italy,60550000,0.2%,110000,"0.3% / 160,000 (According to Caritas Italiana ) https://web.archive.org/web/20071129184319/http://www.db.caritas.glauco.it/caritastest/informiamoci/Riviste_e_pubblicazioni/Sussidi2007/Libri/dossierimmigrazione2007/materiale/panorama_multireligioso.pdf"
Jamaica,2740000,< 0.1%,"< 10,000",
Japan,126540000,36.2%,45820000,"67% or 84,336,539 (2018, ACA Religious Yearbook) less than 20% (2017, JGSS)"
Jhonston Island,0
Jordan,6190000,0.4%,20000,
Kazakhstan,16030000,0.2%,40000,
Kenya,,< 0.1%,"< 10,000",
Kiribati,0
North Korea,24350000,1.5%,370000,
South Korea,48180000,22.9%,11050000,
Kuwait,2740000,2.8%,80000,"4% / 100,000 (2006)"
Kyrgyz,,< 0.1%,"< 10,000",
Lao PDR,6200000,66.1%,4100000,
Latvia,,< 0.1%,"< 10,000",
Lebanon,4230000,0.2%,"< 10,000",
Lesotho,,< 0.1%,"< 10,000",
Liberia,,< 0.1%,"< 10,000",
Libya,6360000,0.3%,20000,
Liechtenstein,,< 0.1%,"< 10,000",
Lithuania,,< 0.1%,"< 10,000",
Luxembourg,,< 0.1%,"< 10,000",
Macau,540000,17.3%,90000,"80% / 455,000 (2012 govt. report)"
"Macedonia, FYR",807
Madagascar,,< 0.1%,"< 10,000",
Malawi,,< 0.1%,"< 10,000",
Malaysia,28400000,19.8 %,5010000,
Maldives,320000,0.6%,"< 10,000",
Mali,,< 0.1%,"< 10,000",
Malta,,< 0.1%,"< 10,000",
Marshall Islands,0
Martinique,,< 0.1%,"< 10,000",
Mauritania,0
Mauritius,,< 0.1%,"< 10,000",
Mexico,,< 0.1%,"< 10,000",
"Micronesia, Fed. Sts.",0
Midway Islands,0
Moldova,0
Monaco,0
Mongolia,2760000,55.1%,1520000,
Montenegro,,< 0.1%,"< 10,000",
Morocco,,< 0.1%,"< 10,000",
Mozambique,,< 0.1%,"< 10,000",
Myanmar,47960000,80.1%,38410000,87.9% (Census 2014)
Namibia,,< 0.1%,"< 10,000",
Nauru,10000,1.1%,"< 10,000",
Nepal,29960000,10.3%,3080000,
Netherlands,16610000,0.2%,40000,
Netherlands Antilles,0
Neutral Zone,0
New Caledonia,250000,0.6%,"< 10,000",
New Zealand,4370000,1.6%,70000,
Nicaragua,,< 0.1%,"< 10,000",
Niger,0
Nigeria,158420000,< 0.1%,10000,
Niue,0
Norfolk Island,0
Northern Mariana Islands,60000,10.6%,"< 10,000",
Norway,4880000,0.6%,30000,
Oman,2780000,0.8%,20000,"1.20% / 30,501 https://web.archive.org/web/20070930152448/http://www.religiousintelligence.co.uk/country/?CountryID=36"
Pacific Islands,0
Pakistan,173590000,< 0.1%,20000,
Palau,20000,0.8%,"< 10,000",
Panama,3520000,0.2%,"< 10,000",
Papua New Guinea,,< 0.1%,"< 10,000",
Paraguay,,< 0.1%,"< 10,000",
Pen Malaysia,0
Peru,29080000,0.2%,50000,
Philippines,93260000,< 0.1%,80000,"46,558 (2010 census) https://psa.gov.ph/sites/default/files/2015%20PSY%20PDF.pdf"
Pitcairn,0
Poland,,< 0.1%,"< 10,000",
Portugal,10680000,0.6%,60000,
Puerto Rico,3750000,0.3%,10000,
Qatar,1760000,3.1%,50000,
Reunion,850000,0.2%,"< 10,000",
Romania,,< 0.1%,"< 10,000",
Russia,142960000,0.1%,170000,"0.6% / 866,500 (2016)"
Rwanda,0
Ryukyu Is,0
Sabah,0
Saint Helena,0
Saint Kitts-Nevis-Anguilla-Aru,0
Saint Pierre and Miquelon,0
Samoa,0
San Marino,0
Sao Tome and Principe,0
Sarawak,0
Saudi Arabia,27450000,0.3%,90000,"1.5% / 414,016 (2007)"
Senegal,12430000,0.3%,"< 10,000",
Seychelles,,< 0.1%,"< 10,000",
Sierra Leone,5870000,0.3%,"< 10,000",
SIKKIM,0
Singapore,5090000,33.9%,1730000,
Slovak Republic,,< 0.1%,"< 10,000",
Slovenia,,< 0.1%,"< 10,000",
Solomon Islands,540000,0.3%,"< 10,000",
Somalia,0
South Africa,50130000,0.2%,100000,
Soviet Union,0
Spain,,< 0.1%,"< 10,000",
Special Categories,0
Sri Lanka,20860000,69.3%,14450000,"70.2% / 14,222,844 (2011 census) Department of Census and Statistics, [http://www.statistics.gov.lk/PopHouSat/CPH2011/index.php?fileName=pop43&gp=Activities&tpl=3 The Census of Population and Housing of Sri Lanka-2011]"
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Sudan,,< 0.1%,"< 10,000",
Suriname,520000,0.6%,"< 10,000",
Svalbard and Jan Mayen Is,0
Swaziland,,< 0.1%,"< 10,000",
Sweden,9380000,0.4%,40000,
Switzerland,7660000,0.4%,30000,
Syrian Arab Republic,0
Taiwan,23220000,21.3%,4950000,"35% / 8,050,000 (2006) [https://2009-2017.state.gov/documents/organization/171672.pdf]"
Tajikistan,,< 0.1%,"< 10,000",
Tanzania ,,< 0.1%,"< 10,000",
Thailand,69120000,93.2%,64420000,"94.5% / 63,620,298 (2015 census)"
Togo,,< 0.1%,"< 10,000",
Tokelau,0
Tonga,100000,< 0.1%,"< 10,000",
Trinidad and Tobago,1340000,0.3%,"< 10,000",
Tunisia,,< 0.1%,"< 10,000",
Turkey,72750000,< 0.1%,40000,
Turkmenistan,,< 0.1%,"< 10,000",
Turks and Caicos Isl.,0
Tuvalu,,< 0.1%,"< 10,000",
Uganda,,< 0.1%,"< 10,000",
Ukraine,45450000,< 0.1%,20000,
United Arab Emirates,7510000,2%,150000,"5% / 222,201 (2006)"
UK,62040000,0.4%,240000,
US,310380000,1.2%,3570000,
Unspecified,0
Uruguay,,< 0.1%,"< 10,000",
Us Msc.Pac.Is,,< 0.1%,"< 10,000",
Uzbekistan,27440000,< 0.1%,"< 10,000",
Vanuatu,,< 0.1%,"< 10,000",
Venezuela,,< 0.1%,"< 10,000",
Vietnam,87850000,16.4%,14380000,
Virgin Islands (U.S.),0
Wake Island,0
Wallis and Futura Isl.,0
Western Sahara,0
World,6895890000,7.1%,487540000,
Yemen ,,< 0.1%,"< 10,000",
Yugoslavia,0
"Yugoslavia, FR (Serbia/Montene",0
Zambia,,< 0.1%,"< 10,000",
Zimbabwe,,< 0.1%,"< 10,000",
